124,695906911369
424,073731249233
355,774517368886
400,148203807952
158,463455535222
106,200728638191
385,052938534437
501,44627474502
256,297987700579
544,237295545748
179,753762469512
155,003835189624
221,677415930516
319,360964923799
755,987460043276
458,367003667339
108,563459250873
819,221031540642
148,252566784738
342,669308848059
343,480105741639
340,088215689216
363,408156742066
387,980681713662
177,766504333246
180,139106709575
315,117133962976
155,124436747341
172,623820250213
527,533324835605
126,941924810848
123,198066599294
124,01651601401
251,102394419304
886,487719569582
257,681743767896
116,109396217442
469,009089418226
380,293595946531
204,405926402847
241,841751515792
126,294481900658
225,347509364294
102,531088930336
565,147372078685
695,75207762688
102,081019021608
280,097800623671
473,901399126696
133,056403018095
142,280997688082
257,433719572347
253,319400310665
110,223265776049
203,641996670348
218,844025902843
204,687053689122
385,008674515881
676,391230696529
637,744943963245
558,339181507164
199,841641075835
100,381484947345
108,804055723736
153,389494487731
168,522263816801
451,537767821708
208,594783177876
628,14332767443
144,435920726711
157,92977881894
220,137901003537
151,06897925775
235,983071476213
115,340569132632
148,103036202073
436,061875044397
194,857442910251
292,604783888257
267,958452937174
256,03664651282
147,000873410143
364,646244023296
296,995943781452
772,695612643238
223,016719167594
632,25926446368
352,808088137213
464,239314355068
123,352151424322
410,09528574026
128,258027142034
845,064821930167
338,232200412653
337,991504016328
309,701273820224
216,964539255465
356,708297241343
301,435820786951
289,869518005228
